land_unit_slug,land_unit_name,climate_dataset_slug,month,elevation_min_ft,elevation_max_ft,elevation_band_label,mean_low_f,cold_p10_low_f,warm_p90_low_f,sample_cell_count,area_acres,area_pct_of_forest,metadata_json
colville,Colville National Forest,prism-1991-2020-tmin-800m,1,0,2000,"0-2,000 ft",21.49,20.72,22.55,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,1,2000,4000,"2,000-4,000 ft",18.79,16.79,20.74,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,1,4000,6000,"4,000-6,000 ft",17.5,15.64,19.13,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,1,6000,8000,"6,000-8,000 ft",15.16,13.84,16.57,637,89908.02,5.129,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":637,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,2,0,2000,"0-2,000 ft",22.96,22.25,23.92,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,2,2000,4000,"2,000-4,000 ft",19.92,17.78,22.14,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,2,4000,6000,"4,000-6,000 ft",18.65,16.51,20.58,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,2,6000,8000,"6,000-8,000 ft",15.12,13.46,16.46,637,89908.02,5.129,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":637,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,3,0,2000,"0-2,000 ft",28.4,27.96,29.22,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,3,2000,4000,"2,000-4,000 ft",25.03,22.95,27.1,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,3,4000,6000,"4,000-6,000 ft",23.03,20.39,25.23,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,3,6000,8000,"6,000-8,000 ft",17.74,15.55,19.46,637,89908.02,5.129,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":637,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,4,0,2000,"0-2,000 ft",34.2,33.5,35.14,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,4,2000,4000,"2,000-4,000 ft",30.67,28.29,32.97,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,4,4000,6000,"4,000-6,000 ft",28.73,25.66,31.17,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,4,6000,8000,"6,000-8,000 ft",22.55,20.01,24.64,637,89908.02,5.129,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":637,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,5,0,2000,"0-2,000 ft",41.6,40.94,42.56,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,5,2000,4000,"2,000-4,000 ft",38.32,35.72,40.92,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,5,4000,6000,"4,000-6,000 ft",36.56,33.33,39.16,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,5,6000,8000,"6,000-8,000 ft",30.2,27.68,32.8,637,89908.02,5.129,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":637,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,6,0,2000,"0-2,000 ft",47.53,46.82,48.65,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,6,2000,4000,"2,000-4,000 ft",43.99,41.33,46.62,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,6,4000,6000,"4,000-6,000 ft",42.15,38.97,44.83,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,6,6000,8000,"6,000-8,000 ft",35.54,32.94,38.21,637,89908.02,5.129,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":637,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,7,0,2000,"0-2,000 ft",52.22,51.36,53.47,34,4798.86,0.274,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":34,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,7,2000,4000,"2,000-4,000 ft",49.37,45.95,52.93,6486,915452.75,52.222,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":6486,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
colville,Colville National Forest,prism-1991-2020-tmin-800m,7,4000,6000,"4,000-6,000 ft",49.13,45.75,52.23,5263,742835.0,42.375,"{""area_estimation"":""forest_gis_acres_times_prism_dem_cell_fraction"",""band_dem_cell_count"":5263,""dem_cell_count"":12420,""elevation_units_in_source"":""m"",""temperature_units_in_source"":""C""}"
